:roll: rolleyes
:lol: lol
xD lol
XD lol
:cool: cool
8-) cool
:sad: sad
:( sad
:-( sad
:smile: smile
:) smile
:-) smile
:???: confused
:? confused
:-? confused
:grin: bigsmile
:D bigsmile
:-D bigsmile
:razz: tongue
:p tongue
:P tongue
:-p tongue
:-P tongue
:eek: surprised
:shock: surprised
:o surprised
:-o surprised
:O surprised
:-O surprised
8O surprised
8-O surprised
:mad: angry
:x angry
:-x angry
:X angry
:-X angry
&gt;:( angry
>:( angry
:neutral: neutral
:| neutral
:-| neutral
:wink: wink
;) wink
;-) wink
:!: exclaim
:?: question
:heart: heart
&lt;3 heart
<3 heart
&gt;-I martini
:martini: martini
>-I martini
:whiterussian: whiterussian
|_| whiterussian
:burrito: burrito
O_o mindblown
o_O mindblown-alt
(w) wordpress
(W) wordpress
:star: star
:developer: developer
:bear: bear
^^&#8217 blush
:cry: cry
:&#8217;( cry
:\'( cry
:‘( cry
:’( cry
:-/ uneasy
:/ uneasy
:-\\ uneasy
:\\ uneasy
:facepalm: facepalm
=^-^= kitten
